CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [9.03] [2.55] [-4.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [7.99] [2.89] [-5.72] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [7.16] [2.93] [-6.64] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [5.74] [2.76] [-7.86] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [4.71] [2.43] [-8.56] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [3.09] [1.77] [-9.32] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [1.95] [1.45] [-9.62] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.21] [1.19] [-9.76] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-0.94] [1.01] [-9.68] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-2.61] [0.43] [-9.33] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-3.66] [-0.10] [-8.93] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-5.10] [-0.75] [-8.08] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-5.96] [-1.00] [-7.38] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-7.12] [-1.26] [-6.12] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-7.80] [-1.35] [-5.12] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-8.38] [-1.27] [-4.04] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-9.01] [-0.87] [-2.28] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-9.24] [-0.52] [-1.01] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-9.25] [0.04] [1.01] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-8.98] [0.41] [2.37] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-8.18] [1.00] [4.38] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-7.36] [1.40] [5.63] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-5.77] [1.99] [7.22] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-4.49] [2.38] [8.05] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-2.39] [2.93] [8.87] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-0.93] [3.35] [9.09] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [1.20] [4.18] [8.84] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [2.53] [4.73] [8.36] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [4.31] [5.11] [7.49] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [5.32] [5.25] [6.80] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [6.55] [5.29] [5.73] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [7.21] [5.11] [5.14] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [7.93] [4.75] [4.43] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.28] [4.59] [3.99] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.64] [4.50] [3.34] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.76] [4.53] [2.99] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.81] [4.66] [2.61] | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.76] [4.86] [2.39] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.62] [5.22] [2.12] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [8.49] [5.42] [2.09] | PC:0
