CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.49] [-7.43] [-6.40] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.49] [-7.43] [-6.40] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-6.93] [-6.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-6.93] [-6.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-6.93] [-6.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.46] [-6.64] [-7.22] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.46] [-6.64] [-7.22] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.46] [-6.64] [-7.22] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-6.33] [-7.49] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-6.33] [-7.49] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-6.33] [-7.49] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.44] [-6.01] [-7.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.44] [-6.01] [-7.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.44] [-6.01] [-7.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [-5.38] [-8.21] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [-5.38] [-8.21] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [-5.38] [-8.21] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [-5.04] [-8.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [-5.04] [-8.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [-5.04] [-8.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [-4.68] [-8.64] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [-4.68] [-8.64] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [-4.68] [-8.64] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [-4.32] [-8.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [-4.32] [-8.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [-4.32] [-8.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [-3.60] [-9.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [-3.60] [-9.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [-3.60] [-9.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
